meeting_month,meeting_date,event_slug,event_title,market_question,outcome_name,normalized_outcome_label,snapshot_label,target_date,selected_timestamp,selected_datetime_utc,selected_date,probability,realized_outcome_0_1,brier_score,absolute_error,source_endpoint_type,source_endpoint,raw_file_path,data_status,notes
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,No change in Fed interest rates after January 2026 meeting?,Yes,no_change,final_available,2026-01-28,1769640654,2026-01-28T22:50:54Z,2026-01-28,0.999,1,1.0000000000000019e-06,0.0010000000000000009,trades_fallback,https://data-api.polymarket.com/trades?market=0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140732Z_trades_112838095111461683880944516726938163688341306245473734071798778736646352193304_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,No change in Fed interest rates after January 2026 meeting?,No,other,final_available,2026-01-28,1769640650,2026-01-28T22:50:50Z,2026-01-28,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260529T140735Z_trades_7321318078891059430231591636389479745928915782241484131001985601124919020061_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,Yes,25_plus_bps_hike,T-30,2026-02-16,1742415194,2025-03-19T20:13:14Z,2025-03-19,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0xf7050a33a8444389ef1800e4476b43a987ff72668be0b616a4b457f5ba944a00&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T120423Z_trades_5678441977631356096576643767219853506662704132397324700379875824610338420737_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,Yes,25_plus_bps_hike,T-14,2026-03-04,1742415194,2025-03-19T20:13:14Z,2025-03-19,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0xf7050a33a8444389ef1800e4476b43a987ff72668be0b616a4b457f5ba944a00&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T120423Z_trades_5678441977631356096576643767219853506662704132397324700379875824610338420737_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,Yes,25_plus_bps_hike,T-7,2026-03-11,1742415194,2025-03-19T20:13:14Z,2025-03-19,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0xf7050a33a8444389ef1800e4476b43a987ff72668be0b616a4b457f5ba944a00&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T120423Z_trades_5678441977631356096576643767219853506662704132397324700379875824610338420737_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,Yes,25_plus_bps_hike,T-3,2026-03-15,1742415194,2025-03-19T20:13:14Z,2025-03-19,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0xf7050a33a8444389ef1800e4476b43a987ff72668be0b616a4b457f5ba944a00&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T120423Z_trades_5678441977631356096576643767219853506662704132397324700379875824610338420737_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,Yes,25_plus_bps_hike,T-1,2026-03-17,1742415194,2025-03-19T20:13:14Z,2025-03-19,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0xf7050a33a8444389ef1800e4476b43a987ff72668be0b616a4b457f5ba944a00&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T120423Z_trades_5678441977631356096576643767219853506662704132397324700379875824610338420737_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,Yes,25_plus_bps_hike,final_available,2026-03-18,1742415194,2025-03-19T20:13:14Z,2025-03-19,0.001,0,1e-06,0.001,trades_fallback,https://data-api.polymarket.com/trades?market=0xf7050a33a8444389ef1800e4476b43a987ff72668be0b616a4b457f5ba944a00&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T120423Z_trades_5678441977631356096576643767219853506662704132397324700379875824610338420737_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,No,other,T-30,2026-02-16,1742396294,2025-03-19T14:58:14Z,2025-03-19,0.999,0,0.998001,0.999,trades_fallback,https://data-api.polymarket.com/trades?market=0xf7050a33a8444389ef1800e4476b43a987ff72668be0b616a4b457f5ba944a00&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T120425Z_trades_74384045717921713926851299648820414700024667426425261397803198704608838497339_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
2026-03,2026-03-18,fed-decision-in-march,Fed decision in March?,Fed increases interest rates by 25+ bps after March 2025 meeting?,No,other,T-14,2026-03-04,1742396294,2025-03-19T14:58:14Z,2025-03-19,0.999,0,0.998001,0.999,trades_fallback,https://data-api.polymarket.com/trades?market=0xf7050a33a8444389ef1800e4476b43a987ff72668be0b616a4b457f5ba944a00&limit=1000&offset=0,/Users/arthurgrebertgmail.com/Documents/Academic perso/Master thesis/Data/pipeline_outputs/raw/polymarket/20260530T120425Z_trades_74384045717921713926851299648820414700024667426425261397803198704608838497339_0.txt,real_api_data,snapshot_selection=closest_observation_before_target
