date,meeting_month,meeting_date,event_slug,event_title,market_question,outcome_name,normalized_outcome_label,token_id,last_probability,mean_probability,min_probability,max_probability,number_of_observations,days_to_meeting,source_endpoint_type
2026-01-28,2026-01,2026-01-28,fed-decision-in-january,Fed decision in January?,Fed decreases interest rates by 25 bps after January 2026 meeting?,Yes,25_bps_cut,92703761682322480664976766247614127878023988651992837287050266308961660624165,0.001,0.003539400636633797,0.001,0.01032,1891,0,trades_fallback
2026-04-19,2026-04,2026-04-29,fed-decision-in-april,Fed decision in April?,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,Yes,50_plus_bps_cut,18690049947242812495755151360212639738977254879109748949267393375856311641700,0.002,0.0016666666666666668,0.001,0.002,51,10,trades_fallback
2026-04-19,2026-04,2026-04-29,fed-decision-in-april,Fed decision in April?,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,No,other,44217754360633979680316989769899520588351517398269898942558308875588541304698,0.999,0.9986241610738255,0.998,0.999,298,10,trades_fallback
2026-04-20,2026-04,2026-04-29,fed-decision-in-april,Fed decision in April?,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,Yes,50_plus_bps_cut,18690049947242812495755151360212639738977254879109748949267393375856311641700,0.002,0.0016363636363636363,0.001,0.002,88,9,trades_fallback
2026-04-20,2026-04,2026-04-29,fed-decision-in-april,Fed decision in April?,Will the Fed increase interest rates by 25+ bps after the April 2026 meeting?,No,other,30695356184876659373803609107050405812738015124680927512315982415984867952338,0.997,0.9976238938053097,0.997,0.998,226,9,trades_fallback
2026-04-20,2026-04,2026-04-29,fed-decision-in-april,Fed decision in April?,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,No,other,44217754360633979680316989769899520588351517398269898942558308875588541304698,0.998,0.9986262425447316,0.998,0.999,503,9,trades_fallback
2026-04-20,2026-04,2026-04-29,fed-decision-in-april,Fed decision in April?,Will the Fed decrease interest rates by 25 bps after the April 2026 meeting?,Yes,25_bps_cut,83479140651306794046790588004449066364152228067472874205697111967337978544729,0.004,0.004291372592149796,0.003,0.006225802728468872,92,9,trades_fallback
2026-04-20,2026-04,2026-04-29,fed-decision-in-april,Fed decision in April?,Will the Fed decrease interest rates by 25 bps after the April 2026 meeting?,No,other,86189905157402748775272356734086074576046362545577080735663677743589826713172,0.9969999999853382,0.9958288770029098,0.994,0.997,187,9,trades_fallback
2026-04-20,2026-04,2026-04-29,fed-decision-in-april,Fed decision in April?,Will the Fed increase interest rates by 25+ bps after the April 2026 meeting?,Yes,25_plus_bps_hike,9556122149160720922715284597610520228366807023831966638741974320131898296289,0.003000000003,0.002779069768293334,0.002,0.0030000000054545453,86,9,trades_fallback
2026-04-21,2026-04,2026-04-29,fed-decision-in-april,Fed decision in April?,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,Yes,50_plus_bps_cut,18690049947242812495755151360212639738977254879109748949267393375856311641700,0.002,0.001808080808080808,0.001,0.002,99,8,trades_fallback
2026-04-21,2026-04,2026-04-29,fed-decision-in-april,Fed decision in April?,Will the Fed increase interest rates by 25+ bps after the April 2026 meeting?,No,other,30695356184876659373803609107050405812738015124680927512315982415984867952338,0.998,0.997606779661017,0.997,0.998,295,8,trades_fallback
2026-04-21,2026-04,2026-04-29,fed-decision-in-april,Fed decision in April?,Will the Fed decrease interest rates by 50+ bps after the April 2026 meeting?,No,other,44217754360633979680316989769899520588351517398269898942558308875588541304698,0.999,0.9986174089068826,0.998,0.999,494,8,trades_fallback
2026-04-21,2026-04,2026-04-29,fed-decision-in-april,Fed decision in April?,Will the Fed decrease interest rates by 25 bps after the April 2026 meeting?,Yes,25_bps_cut,83479140651306794046790588004449066364152228067472874205697111967337978544729,0.0030000000003,0.003398292990805499,0.002,0.004,111,8,trades_fallback
2026-04-21,2026-04,2026-04-29,fed-decision-in-april,Fed decision in April?,Will the Fed decrease interest rates by 25 bps after the April 2026 meeting?,No,other,86189905157402748775272356734086074576046362545577080735663677743589826713172,0.997,0.9966617646297092,0.996,0.998,340,8,trades_fallback
